fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"8/k7/1pq5/p2p1p2/P4Pp1/1b2P1Pp/3Q3P/6KB w - - 1 46",-417,-304,-315,-332
"r1bqk2r/pp3pp1/1p2p3/3pP2p/1P1Pn3/2PQ3N/1B3PPP/RN3RK1 w - - 0 13",652,151,193,171
"rnb1k2r/pp1pb2p/4p3/2pn4/5B2/3P1N1P/PPP1B1P1/RN1K3R w kq - 1 10",45,2,-14,-2
"r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25",399,183,273,258
"6k1/pp5p/2p1pbp1/2Pr1p2/1PQ5/PR6/4B1P1/q1B2K2 b - - 2 27",-19,217,163,181
"4r1k1/4R2p/p1b3p1/r6n/3B2P1/2Nn4/1p2N2P/5RK1 w - - 1 29",-73,-209,-213,-188
"1r4k1/6p1/5n2/Rb6/3P4/Br4P1/1P3P2/2R3K1 w - - 1 44",-180,74,65,65
"4q3/1Q6/6pk/P1p5/3pB2P/4n1P1/2P1K3/8 b - - 0 35",-130,-210,-112,-181
"r1b3k1/1p3Rb1/2pq3p/8/PpPpBN2/1Q2p1P1/1P2P3/1K6 w - - 2 27",333,219,274,356
"8/2kr2p1/2npb1pp/1p6/1P2P2P/2P2P2/3R1KP1/3R4 b - - 4 42",103,62,47,117
"2kr4/1bp4p/3br1p1/RP6/3BN3/2P1PN1P/4K1P1/7R b - - 0 17",-222,-166,-182,-228
"1r1q2rk/1p3n1p/pNp2p2/P2p4/3P2Q1/2P3b1/1P4R1/R1B3K1 w - - 1 25",-190,-66,-11,-47
"r1bqk2r/p1n1ppbp/3p1np1/PPpP4/2B2P2/2N4P/1P1B2P1/R2QK1NR b KQkq - 2 11",120,7,17,34
"2k5/7p/r1qp1Q2/nN1Nn3/2P5/4P3/7P/R6K w - - 1 37",483,390,492,552
"5k2/R7/3r4/5KP1/8/p7/8/8 b - - 9 50",-4,-54,-40,-37
"8/5rp1/4Qpk1/7p/8/P1R2qP1/KB6/8 b - - 1 37",-342,-257,-265,-243
"2k5/8/2n5/p7/5P2/2NK4/1pr5/R7 w - - 0 51",64,-199,-186,-198
"5rk1/1qpn1pp1/3pp2p/Q7/2PN4/4PP1P/3P2K1/R7 w - - 2 24",-7,-51,-34,-103
"r2qk2r/1bpp2b1/1p2P1p1/p5Np/2BnpPnP/P1N5/1PP3P1/R1BQ1K1R b kq - 0 11",300,35,14,62
