fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"8/8/8/5p1p/7P/1R5K/5k2/3r4 w - - 2 70",-16,-222,-225,-228
"k1r5/1p1b2pp/8/b2q4/P2Bp3/4Q3/5P1P/1R4K1 w - - 2 36",-393,-433,-406,-458
"r4rkb/1bq2p1p/n1Np1npP/1B2p3/p3P1P1/2P1BP2/PP6/R2QK1NR w KQ - 3 13",6,105,180,198
"3r4/pp3pkp/3q4/3Nr1p1/3p4/P5PQ/1PP3BP/3K3R w - - 0 21",-182,-20,-1,19
"7r/pp1bnk2/3pp3/3p1p2/3PnNp1/PP2PP2/1BP1Q1P1/R3KBq1 b - - 0 16",332,48,47,53
"r4rk1/p3nppp/B1n2q2/2pp4/3b1P2/B5PP/P2P1P2/1R1QR1K1 b - - 1 12",458,287,318,322
"r4b1r/p1pq1k2/P3pn1p/R1p2pp1/1pP2P2/1Q1P2P1/1P1NP2P/2B1K2R b K - 3 13",43,79,47,43
"r4r1k/2ppq1pp/b1pb1pn1/8/N2QP3/P3B3/1PP1BPPP/R3K2R b - - 6 16",239,84,9,8
"r2k1b1Q/1p1b4/2q2pr1/pNp1p3/2PpP3/3N1B2/4K3/RR6 b - - 1 25",-189,139,35,58
"8/B2R4/5pp1/p1p5/P1n1kPP1/2r5/4KP2/8 w - - 2 34",-35,19,40,40
"8/8/R5pk/8/2r5/7P/2P2RK1/1r6 w - - 9 45",18,102,80,80
"8/6pk/p1R2p1p/8/PP1pr2P/6K1/3Bb3/8 b - - 2 35",325,235,294,277
"6k1/P4rp1/2pq4/4p3/2P4b/8/3PP2P/3K2R1 w - - 0 32",-412,-157,-161,-157
"5q2/1k5P/1pp3K1/5p2/2P5/p3P3/6Q1/8 b - - 10 51",0,0,0,0
"5rk1/2p3b1/7p/3b1p2/3P1B1q/4Q3/1P2B1P1/5RK1 b - - 3 24",8,-26,-18,-26
"8/4p1k1/6p1/2P4p/3q2p1/4P1P1/5P2/6K1 w - - 0 36",20,75,75,83
"r1b2rk1/2qn1pb1/p2p1n1p/2pP2p1/1PP1Pp2/1P1B1N1P/RBN3P1/3Q1RK1 b - - 2 12",6,32,54,69
"1r1r1b2/5pk1/1pq1pn1p/p1p3p1/P1N5/N1PP2P1/1P2QP1P/3RR1K1 w - - 12 22",128,32,88,125
"8/1p1r2k1/2n3p1/p3p2p/P3P3/2P1Pq2/2Q2P1R/1R2K3 b - - 2 28",-88,-48,-32,-18
"1kr5/1p6/p3b3/5n2/1P1P1R2/P3p3/4N2P/4KB2 b - - 3 32",9,-18,-25,-59
"5Q2/1p6/p1p1R1r1/6k1/2Pq4/1P3b2/P2p1P2/1K6 w - - 8 52",-442,-542,-560,-551
"r7/p3q2k/bpp1p2p/n2pPp2/2P1n3/1PB1P1P1/P5BP/2RQR1K1 w - - 1 21",343,353,359,360
"4r3/1k6/2b3Q1/1pq5/4p1pP/6P1/1RP3BK/4B3 w - - 5 38",576,363,352,400
"1r2r3/1pnnbk2/p1p2pp1/N3p2p/PP1PPB1P/8/4KPB1/2RR4 w - - 0 25",-18,12,125,-21
"8/1p5k/3K4/4N3/3B4/p5R1/8/3r4 w - - 4 52",330,251,278,356
"4r1k1/2qn2p1/1ppb1p2/p2p1b1p/P6P/1P1N1PP1/1BPQ1PB1/2R3K1 b - - 1 17",57,86,113,79
"r7/1p1rb2p/4k1p1/1pP5/1P2p1KP/pR2B1P1/P4P2/2R5 b - - 1 32",17,128,109,56
"3b2k1/1p4q1/3Q4/pN1p2p1/Pn1P4/5P2/1P3B2/6K1 b - - 8 37",-21,-40,-27,-47
"2r5/4bk2/2r2n2/p6q/3pp3/P5R1/4PP2/1R1Q1K2 w - - 0 27",-480,-647,-681,-765
"r1b4r/1p2k1pp/2n2n2/3p4/1p6/5NP1/P2NPPBP/R3K2R w KQ - 4 12",-45,-115,-91,-84
"8/6kp/4p2p/7P/2pr4/5BP1/5PK1/8 w - - 0 54",-557,-345,-540,-711
"6k1/p4p1q/1p3Q2/3pN1p1/3P4/3rP1P1/P4P2/5RK1 b - - 0 24",-474,-540,-535,-544
"8/2k1r3/3b4/8/P7/8/2K2R2/8 w - - 5 56",21,-162,-172,-177
"1r6/8/8/2B1kp2/1P6/5BKP/8/8 w - - 2 56",334,287,274,285
"r1bbk1nr/1qp5/p1np2pp/1p1NppN1/1P3P2/1BP5/P3Q1P1/R1B2K1R b kq - 0 12",152,169,180,175
"3r2k1/r5p1/p2p2B1/1p4PR/2b1N3/P3nN2/1PP3P1/2KR1n2 w - - 2 22",235,290,314,306
"2r1k2r/p2pbppp/np2p3/2qnP3/3NNP1P/6P1/PPP3K1/R1BQ1R2 b k - 2 10",-45,-150,-98,-85
"2R5/2p1Rppr/p7/pk5p/r7/4B2P/2b3P1/6K1 w - - 2 28",102,-123,-169,-188
"7r/8/ppkp4/2p1r1R1/P2p4/1P3P2/2KPP1RP/8 b - - 0 31",32,58,51,5
"r2qk1r1/p2n3p/2p1p1bQ/Pp1p1p1n/1b4P1/2NPPN1P/1BP2P2/R3KB1R b KQq - 0 13",331,0,0,-15
"R1Q2b2/2p2rk1/2n3pp/2p5/5qP1/R6P/8/3K4 b - - 1 35",779,423,586,2031
"4r1k1/5pp1/rb6/1p1p3p/1P1N3P/1NPb4/p4KP1/R2B3R b - - 1 27",-59,41,47,92
"8/8/2k5/p7/8/1P6/1K5R/4r3 w - - 6 75",2,17,10,14
"r2k3r/2pb2q1/3p2Bp/7P/1Q6/P3R1P1/8/1K3R2 b - - 0 28",-9,-63,-115,-102
"r2qk2r/1pp1p1bp/1n1nbpp1/pP1p4/P2P3P/2N3P1/2PNPPB1/R1BQ1RK1 b kq - 4 9",21,76,48,67
"8/3k3p/5R2/8/8/8/3K1N1r/8 b - - 10 60",0,-102,-118,-135
"rn1q1rk1/p2p2pp/1p2p3/5p2/2B2P2/1PN1Q1PP/PB6/R3K2n w Q - 0 12",222,-72,-72,-82
"k7/7R/2r4p/7P/4K3/8/8/8 w - - 1 68",7,130,129,124
"k7/2K5/P6q/1p2P3/8/2P5/8/8 b - - 0 56",527,877,972,1009
"r2k3r/1pp1n3/p2b3p/4N3/q3P2P/P1B5/1P3Q2/2KR2R1 b - - 2 27",-384,-106,-103,-187
"2rq1r2/3b2kp/6p1/1p1P3n/p3p3/1B2N2P/PPPQ1P2/1K1R3R w - - 0 21",-194,-77,-77,-49
"1k1r4/pbp2p2/5B1p/2bq1B2/8/pP4P1/2PP2PK/R4R2 w - - 6 22",-350,-495,-499,-494
"r6r/p1q2k1p/p1pRn1p1/3p1p2/N4P1Q/BP1P4/2P3PP/6K1 w - - 3 17",-82,-12,-15,-46
"2rq2k1/3p1rb1/1p4Q1/4p1P1/1RP2p2/P7/5P2/2B1K2R w K - 1 21",108,136,148,147
"6k1/8/1R6/8/4K3/8/8/6r1 b - - 3 56",0,-9,-15,-18
"8/8/1kNK2p1/p7/2r4p/5P1P/6P1/8 w - - 0 45",-458,-233,-323,-340
"2R5/8/2n1k3/p2r4/b3N1P1/2B5/6K1/8 w - - 1 49",7,87,66,56
"r3kb1r/1ppbqppp/2n5/p2p4/P2PnPPP/4R3/1PP1B3/1NBQK1NR w Kkq - 1 9",-37,-73,-73,-65
"8/1k3p2/3q4/P1n5/2P5/2Q2P2/1KB5/8 w - - 7 68",173,242,236,244
"r3k2r/pp1n1pp1/2pbpn1p/q4b2/2PP4/1PN1QN2/PB2BPPP/3RK2R w Kq - 8 9",71,-60,-25,-36
"5r2/6pk/p6p/7q/8/Pp6/1P6/K3R3 b - - 3 37",813,1894,2241,2648
"8/2k1r3/7p/7R/3p4/3N4/8/5K2 b - - 5 45",-15,-36,-61,-63
"5k2/3R1b2/2rn4/5p2/5K2/8/8/3B2R1 w - - 20 60",75,161,153,158
"8/2rBK3/1k5P/8/p7/8/2b1R3/8 b - - 2 54",7,83,119,64
"4k3/pb6/p2PP3/8/7P/6P1/8/2b2K2 b - - 0 37",450,321,371,345
"8/q5k1/P1p2bp1/3b4/R5P1/3Q4/8/5K2 b - - 2 45",113,156,114,125
"3r3k/6p1/7p/5R2/5P1P/3p1BP1/7K/4r3 b - - 0 47",486,425,415,404
"1k2rbr1/1bp1Bp2/ppq4p/5Q2/3P4/P1P2N2/1P1N1PPP/R3K2R w KQ - 3 14",201,237,223,191
"4r1k1/1p6/p2p2p1/P2P1b1p/1PPb4/8/3B1PR1/5BK1 b - - 2 34",109,-7,-23,-23
"r3kb1r/4npp1/1pn1p2p/p1p5/Q1P2PPq/P1N2P2/1P1BK2P/3R1B1R b kq - 6 9",16,38,4,4
"r4rk1/1bpp4/2N4p/p1qn1pp1/P7/1R3PP1/4B1KP/3Q3R w - - 0 24",-217,-197,-239,-202
"4rrk1/p2n2p1/3p1q2/1ppP1p1P/5P2/PP1QPB2/8/2RK2R1 b - - 1 26",-16,5,-21,-15
"rr3n2/2b2qpk/p1p1bn2/1pPp1p1p/1P1Pp3/PN2P1PP/K1Q1BP2/1NB3RR w - - 0 19",-38,-161,-130,-114
"r3kbr1/2pb3p/p3p3/1p2Np1n/2pP3q/PnN1B2P/1PQ1PP2/3RKB1R w Kq - 2 13",-166,-32,-67,-19
"r3kr2/p1p1b1p1/1p5p/3Ppq1n/2P1N2P/P4P2/1PQ2B2/2KR3R b q - 1 15",-17,0,-15,43
"r2qkbr1/pp5p/n1n1b3/1N1pN3/P5P1/8/1B1PP1B1/2RQK2R b q - 0 15",-80,87,20,26
"3k2r1/2p5/1p3qP1/p2N4/6Q1/8/PbP5/1K2R3 b - - 0 34",-382,-141,-187,-233
"2r3k1/1B3qn1/1P1pp3/p7/2P5/5Q2/P4PP1/1R4K1 b - - 0 33",-430,-379,-428,-441
"q3r3/3b2p1/3Q1nk1/r4pp1/8/4P2P/3P2P1/1RB1KB1R w - - 1 22",-150,15,16,-30
"2kr3r/pp1b1p2/2n1qnpp/2bN4/6P1/P3BN2/1PP2PBP/R2QK2R w K - 5 10",-100,106,89,65
"1b6/5k2/8/5pPR/3B4/4P1P1/5PK1/2r5 w - - 1 58",609,566,510,672
"2k5/1p4R1/1Bpb4/6Pp/4b2n/P4r1P/1P6/3R2K1 w - - 0 29",403,441,341,348
"3rk1nr/ppp3pq/4bp2/PPb1p1p1/8/2N4P/1P1BBPP1/R2Q1RK1 w k - 1 12",-176,-48,-44,-42
"8/5k2/p4p2/1p1r3p/4KP2/P5R1/8/8 b - - 1 64",395,332,270,306
"r2qkb2/ppp2pr1/4pn1p/3p1b2/PnPP1N2/N3P3/1P2B1PP/R1BQ1RK1 b q - 6 9",49,125,132,75
"2r3r1/1p1k3q/p1nbpn1p/3p1pp1/P2P4/1PPB1NPP/1BR1QP2/5K1R w - - 2 22",49,-30,23,24
"4r1k1/1pq1rpb1/p2np1p1/P2p2Pp/3P3P/2PNN1Q1/1P2RP2/4R1K1 w - - 5 27",-3,73,74,64
"8/8/8/q3n1k1/4B3/3PP3/1P2Q3/1K6 w - - 7 65",439,451,500,492
"7R/8/8/2pB2rp/2P1K3/8/1k6/8 w - - 10 58",339,335,338,378
"8/5k2/8/4P3/4b3/7P/5KP1/8 w - - 12 64",-8,11,-33,-47
"2kr2r1/pp2bp1p/1qp1b3/3pP3/3N1Q2/1N1P2P1/PP5P/R4R1K b - - 8 15",212,4,-41,-24
"rn1qk2r/ppp1bpp1/2n1b2p/4p3/4N3/2PPN3/P4PPP/R1BQKB1R w KQkq - 4 9",-179,-75,-74,-74
"r4b1r/p2b2pk/n2p3p/1B1q1p2/4p3/PP2P2P/1BQ2PP1/2K3NR w - - 0 17",-292,-65,-77,-89
"k1b3r1/1pP5/1n1P3p/p7/1q2BB1P/5N2/2Q4K/8 b - - 1 32",231,121,86,67
"r4k2/ppp4p/4q1pb/1P2N3/3PP2P/2P5/P1Q1K3/7R w - - 0 21",358,124,128,126
"8/1p6/3q1b1k/3p1B2/2r2n1P/P3Q3/K5R1/4R3 w - - 3 43",790,55,496,664
"4k2r/2r1bpp1/1NP1p3/1P2PP1p/p3q3/P3B2P/3Q2P1/3R2K1 b - - 0 30",-524,-30,-77,-90
"4r3/1p1k1p2/p7/n2N1r2/P6R/2KP4/8/1R6 w - - 2 32",-51,-108,-114,-105
"2k5/3p1Q2/p1p5/2b3p1/8/P1P3N1/1P1q1P2/6K1 b - - 0 31",153,154,162,116
"r1bqkbr1/1pn2ppp/2p4n/3p4/3Pp3/PQp1N1P1/4PP1P/RNB1KB1R w KQq - 0 9",-230,-202,-226,-203
"r4rk1/1Np4p/P2q1p2/P2p2pb/3Pp3/2Q1P3/2P2PR1/4KB2 b - - 4 28",195,-67,-67,-68
"8/1p2r2p/6k1/5pP1/1p3B2/1P1PP3/PK6/8 w - - 3 29",-212,-77,-83,-73
"r1q2rk1/p2pppbp/2n2n2/3N4/2P2B2/3B1pP1/1P3P1P/3Q1RK1 b - - 6 14",302,517,510,488
"2b1kbnr/1pp2pp1/2n1p2p/3q4/2PP1P2/5NP1/1B1N3P/r2QKB1R w Kk - 0 11",28,31,-9,-35
"r2q1r1k/2p1b1pp/p2pQn2/1p4N1/8/1PPBP3/PB4PP/R2K3R b - - 2 15",-320,-307,-322,-332
"r1b2rk1/2q2np1/p2p1nR1/1p2p3/3PP3/4QN2/PPN2P2/2KR1B2 w - - 1 17",164,188,139,156
"8/8/3p1rnk/1N1Pp2p/1p2P2P/1Pp5/K1P5/7R b - - 7 59",94,64,43,69
"r1b1k2r/ppp1qpb1/P1n1p1p1/1B5p/1n1P4/2N2N1R/1PP2PP1/R1BQK3 b Qkq - 2 9",96,59,3,23
"r1bqkbn1/6p1/2p1n2r/pP1pPQ2/P6p/4PN2/1P1N2PP/R1B1KB1R b q - 4 13",-41,-183,-192,-180
"3r1rk1/R1R5/2p1p2p/4nn2/1P4p1/2P3PB/4K2P/2B5 w - - 0 27",202,-4,61,44
"8/5k2/r5p1/5p1p/5P1P/6P1/4R3/5K2 w - - 0 47",-8,-3,-28,-3
"1r2kb1r/3b2pp/B2qpn2/3pN3/P2p4/7P/3BQPP1/2R1K2R b k - 6 20",38,139,166,137
"r1bqk2r/4ppbn/2np4/7p/2NpP1pP/p2B2N1/2PB1PP1/R2Q1RK1 w kq - 0 13",58,-120,-143,-102
"3k4/5p2/8/5B2/3P3P/4Q3/1p4K1/q7 w - - 0 53",174,261,222,223
"r1b1k2r/p4qb1/p1P2pnp/3p3Q/4pP2/1P2P1P1/PBP1N2P/R3K2R b KQq - 3 14",268,50,48,64
"8/r5k1/1p1R2p1/7p/1PP4P/5BP1/2q2PK1/b3Q3 b - - 14 35",-335,-184,-231,-250
"2rq1bk1/1p3p2/2p1pnpn/7p/3P1P1P/3BP3/P5PN/2R1Q1KR b - - 3 18",119,-47,-27,-37
"3rn1k1/1R2pp1p/2Nq2p1/2p5/r1b2PP1/p1Q5/P3P1BP/5RK1 b - - 0 26",-183,-49,-29,-25
"2k4r/pp2r1pp/2b1n3/8/6P1/2P1p3/PP2B2P/2KR1RN1 b - - 3 19",75,147,116,120
"r3kb1r/2p4p/1pPp1np1/p3q3/4P1P1/2P3Q1/1P3PBP/R1B1R1K1 w k - 4 16",643,284,264,237
"5b2/2p5/ppk5/5p2/P1KBp3/1PN5/2P5/8 w - - 0 28",217,8,20,9
"r3r1k1/pp3pp1/4bn1p/2bnN3/5P2/2P1N1P1/PP2R1BP/R1B3K1 w - - 1 17",68,42,51,56
"5rk1/2pq2p1/bp3p1p/p2p1n2/P2P1BN1/2P2Q1P/1P3PP1/4R1K1 w - - 6 22",108,137,159,166
"8/8/2k5/pp1p2p1/3P4/P2NK3/1Pr1B3/8 w - - 10 40",35,150,134,120
"r4b1r/p1n1kNpp/2B1p1q1/1pp5/8/3PQ1P1/PPP4P/R4RK1 b - - 0 16",-582,-590,-579,-652
"8/2k1p3/2p5/1p6/1P6/2b1R3/3NKPP1/2r5 w - - 0 31",-15,5,3,-11
"8/3k1p2/8/p2KP3/1p6/1P6/P3R3/8 w - - 6 56",696,699,739,773
"6k1/3b1p1p/3p1qpQ/3P4/2Pp4/pr1P3P/5PP1/R4BK1 w - - 0 27",-73,-157,-88,-88
"2r2rk1/p2b2bp/2n1p3/2qp1pB1/8/P1P3P1/2N1PPBP/1R1Q1RK1 w - - 1 16",131,21,72,75
"r5k1/8/8/5R2/2K5/2P5/8/8 w - - 6 52",379,167,160,168
"r3kb2/pppb1p2/2n1p2p/1BP4p/Q4N2/8/PP3qPP/2KR3R b q - 3 10",141,133,173,161
"5r2/1R3p2/p4k1p/3P1npP/P7/8/7K/1R6 b - - 0 44",-128,-42,-71,-106
"3rk3/pp3p2/4b2p/3B4/3B3b/3K1Q2/P1PP3P/RN2r3 b - - 4 22",-204,-129,-129,-183
"1k2r3/1pp5/2n5/pnq2p2/3p4/PP1Pr3/2PNBQPP/R1K1R3 b - - 10 21",589,184,224,249
"2kr2nr/pbpq1pbp/1pnpp3/5P2/3PP1PR/2N1BN2/PPP1Q1B1/2KR4 b - - 5 9",-146,-134,-111,-115
"4r1k1/1pB3p1/p6p/3P1q2/2Pr4/1P5P/P5B1/5RK1 w - - 0 23",444,224,242,261
"8/8/4r3/3N4/1K1B4/7k/8/8 b - - 6 58",-3,-155,-152,-148
"6k1/1pB2pp1/2p2b1p/p4N2/P7/1K6/3r1PPP/3r1B1R w - - 5 26",-550,-244,-297,-394
"6k1/6pp/8/2q1pp2/4p3/4P1P1/2P1NPKP/R7 b - - 1 32",212,183,246,266
"8/1R5p/P3kp2/2Kn4/8/5pB1/4r2P/6R1 w - - 2 36",399,646,679,663
"r4r1k/p2q4/3b1p1p/3Q1P2/Pppp2P1/8/1PPN1P1P/R1B3K1 w - - 1 16",-38,18,47,9
"8/5p2/4k1b1/1P2n3/8/P1K1N3/8/8 w - - 3 37",-117,-126,-133,-177
"1k1r4/2pq2p1/4b3/n3P2P/pp2Q3/b2pPN2/5PP1/B2RK2R w - - 1 29",96,67,67,25
"3R4/4k3/p1q5/1p3nP1/4rP2/P7/3QPK2/8 w - - 9 37",-248,-97,-94,-98
"7r/3P2p1/5qk1/p2Q1p2/P4P1p/4R2P/2r3P1/7K w - - 0 33",297,171,236,318
"2kr1b1r/1bpqn1pp/pn2pp2/1p6/3P4/P1PB1NNP/1P3PP1/R1BQK2R w Q - 1 10",-36,26,64,47
"B7/8/1p6/2p1b3/2P5/8/5k1p/3K4 w - - 6 55",-441,-507,-514,-507
"1r1nkb1r/pbppnpp1/4p1q1/8/1p1PP1P1/2PBNP1p/PP5P/R1BQ2RK w k - 4 13",-252,-178,-161,-163
"1R6/8/b1kPp3/P2p1n2/8/4P3/3N1PP1/4K3 b - - 0 28",-574,-546,-591,-550
"8/1K6/1p6/1Pk2B2/3p4/7r/2P5/8 b - - 37 68",376,173,203,222
"8/5R1R/8/8/6r1/6k1/4K1b1/8 b - - 13 48",-25,-99,-104,-107
"r7/r2k4/4pp2/n2p2p1/3P2Pp/2PNBPbP/8/R2K3R b - - 0 34",262,252,205,245
"1r1qk2r/p4p2/4p1p1/2n5/5P2/P1n2NPp/2B2P1P/1R1Q1RK1 w k - 0 19",138,45,-53,-51
"4kb1r/rb4pp/p1n2p2/1p1q4/3ppP1N/1P4N1/PB1P2PP/2RQR1K1 w k - 2 16",252,-26,1,1
"4r3/5k2/p1q4p/8/2P2B2/5b1P/P6K/6Q1 w - - 0 47",-464,-518,-541,-542
"rkbQ1bnr/1p1R4/p1p2pp1/4P3/4Np2/6P1/5P1P/2q2BK1 w - - 0 18",-123,-460,-406,-447
"5r2/2p3p1/2k5/2q5/7P/3PN2Q/P4r2/2R3K1 w - - 0 32",452,558,560,866
"r3kb2/pp3p2/n1pP2pn/7p/2P1PPb1/2N3PP/PP1R4/2K2B1R b q - 0 13",-60,-100,-107,-120
"1r2qr1k/3pb1pp/R1b1p3/3n1p2/1P1P4/N1P2P1N/2QB2PP/1R4K1 b - - 0 16",24,-73,-66,-66
"Q1bq1r2/4p1kp/8/1p1Bnp2/8/1P2BP2/P3N1PP/5RK1 w - - 2 20",579,504,586,671
"1k2r3/2pbn3/1p1n4/p2p1p1p/P2P1P2/1KPBN1P1/2P4P/4B1R1 w - - 7 28",31,97,115,79
"r4rk1/ppp3pp/1Nn2p2/4n3/4N1bP/2P5/PP2PPP1/R1BK1B1R b - - 0 11",-5,-4,-38,-12
"r3k2r/1pq2p2/p2pbb2/2B1p2p/4P2P/2P2NQ1/PP2BPP1/3R1RK1 b k - 0 20",-184,-109,-90,-103
"8/6p1/2k5/4RP2/1P6/1K6/r7/8 b - - 2 68",-23,-203,-188,-149
"r5k1/1p1b1pp1/p2b3r/2pp2q1/P7/1Q1PPB1P/1B3PP1/R4RK1 b - - 4 19",194,53,103,57
"r1bqk2r/1pp3bp/n2ppnp1/pN6/5B2/5N2/PPP1QPPP/2KR1B1R b kq - 3 9",147,18,-28,-39
"8/p3k3/4b3/P7/BP3p2/2NK1P2/4P3/2r5 w - - 0 39",5,133,83,85
"rnbqk2r/4b1pp/2p1pn2/p4p1P/Pp1P1P2/1Q2PN2/3N2P1/R1B1KB1R w KQ - 1 11",75,-90,-69,-71
"4rbk1/5bp1/5p2/7p/3B4/1q2NQ1P/5PP1/3R2K1 w - - 3 43",-10,141,104,81
"2B5/5N2/8/3k4/5p2/3b1P1K/1r5P/4b3 w - - 0 58",-464,-502,-508,-555
"r3k2r/pbppbp1p/1pP3p1/4P3/1P2nP2/PK3N1P/5qP1/RNBQ1B1R b kq - 2 12",-160,-126,-101,-77
"3rk1r1/1p3p2/4p3/2q1P2R/4B1P1/2Nn1P2/3Q4/1R3K2 b - - 0 28",-379,-191,-142,-142
"5k2/3p1N2/b2N1np1/p1Kp1P1p/1r6/8/6PP/4R3 b - - 2 29",261,199,217,257
"r2qk2r/1b1n1ppp/p2b1n2/2pp4/8/1PN1PP1N/P3B1PP/R1BQ1RK1 w kq - 0 10",-40,-20,-20,-16
"r4rk1/3qbp1p/n4npP/2pp4/4p3/1P2P3/1BP1NPP1/RN1QK2R b KQ - 3 12",181,-71,-85,-92
"4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48",-495,-517,-555,-573
"r7/7r/1p2Qpkp/1B4p1/PB6/2R5/6KP/3q4 b - - 4 30",-180,-123,-141,-172
"7R/1p3k1p/1p3p2/6p1/4PP2/8/PP5P/4KN2 w - - 0 30",784,975,1040,1108
"3r2k1/6p1/p1p1p2r/1pbn1q2/3P1P2/8/PP1B1RQP/4R2K w - - 0 24",-98,-85,-18,44
"5r2/3R1Pk1/p1R5/8/P4PP1/3b4/1P2p3/4K3 b - - 4 34",-504,-599,-512,-510
"8/8/5kp1/4p2P/6P1/4b3/6K1/8 b - - 2 49",505,380,443,423
"1r1q2k1/5p2/2p1rppp/2Q5/3P4/1P3N2/P1K2PPP/R2R4 b - - 1 17",-326,-368,-407,-407
"r5qr/1bp1n1k1/ppnbpp2/P5p1/3PB1P1/1PPN3p/3NQP1P/R1B1R1K1 b - - 0 14",-36,43,103,48
"8/4kp2/1p1qp3/1P5p/5P2/2Q3K1/8/8 w - - 0 51",-382,-184,-172,-192
"1kb5/4r3/1ppp1np1/p3p1N1/P1P1Pn2/2NP4/1PK2P2/3B3R w - - 0 33",19,-2,7,12
"rnb1k2r/1pq3pp/2P2n2/p7/P2Pp3/1Pb1P3/3B2PP/R2QKBNR w kq - 0 10",77,60,50,45
"8/4k3/2P1b3/8/1P6/5B2/8/4qQK1 b - - 16 78",10,-108,-115,-91
"r1b1kb2/1p2q1p1/p4n2/3Bpp1p/P3p2P/1PN5/2P2PP1/R2QK2R b KQq - 1 13",532,91,110,45
"r6r/2Q1qkn1/p2pp3/1p1b1p2/1P1N4/B1PB4/P2P1P1P/1R2K3 w - - 0 20",-403,-77,-61,-122
"7r/1pk3pB/2p2p2/p1n5/3N1b2/2P5/PPK3PP/4R3 w - - 0 22",8,50,50,84
"7k/r7/1p2qp2/1Bp5/P6P/2P1b1p1/1KQ5/5R2 w - - 0 40",-51,-150,-150,-188
"r2qk2r/pp3ppp/2nbbn2/8/P7/3N1N2/1BPP1PPP/R2QKB1R w KQkq - 4 9",29,15,58,22
"1r4k1/Q4p2/3q2p1/3p3p/2p1r2P/P1P2NP1/KPP2P2/5B1R b - - 0 23",-213,-223,-232,-222
"3r4/p5k1/1p3qp1/2pp3p/P6N/1PP3P1/3P3P/1K2Q3 b - - 0 28",449,316,272,275
"4qrk1/r1pb1npp/3p4/3Qn2B/p4N2/2PP2P1/PP5P/R1B2RK1 b - - 6 17",-53,-22,-14,-14
"r4b2/1p6/3k1pP1/7R/2PN1p2/1K1P3P/5P2/8 b - - 2 33",-501,-358,-399,-369
"2kr1b1r/1p2qppp/p1n4n/2PB2N1/8/2N1BQ2/PPP2PP1/R3K3 b Q - 4 10",-152,-66,-78,-63
"2r3k1/1p3ppp/p7/8/1P6/b1P1P3/4NPPP/3R2K1 b - - 0 22",-124,-39,-71,-54
"5k2/3nbpp1/2q5/2p1p3/4P3/r4PP1/1BQPKN2/3R4 b - - 7 26",69,130,130,138
"7r/1N3p2/p3k2p/2Pp4/3Pn3/1P2K1P1/n6P/5R2 w - - 0 29",-295,-91,-119,-142
"r1b2r2/1p3ppk/3p4/p1q5/8/N4Q2/RP3PPP/5RK1 b - - 0 15",148,248,214,221
"7r/ppR3pp/4k3/5p1P/3n3P/1P3PKB/P7/8 w - - 0 29",213,227,254,244
"8/1kb5/pr6/8/8/8/Q1K5/8 b - - 17 60",-7,11,20,22
"2r3k1/5pp1/8/pr1p4/3PnP2/R3P1P1/1PP4P/2K1BR2 b - - 1 26",-323,-341,-352,-347
"r1bqrbk1/1p3ppp/2p2n2/p1np4/3N4/PPN1PPP1/1BPQ2BP/4RRK1 b - - 4 12",76,105,76,53
"r2q1b1r/1p2kB1p/pp1p4/4p1N1/5nQ1/2P5/P5PP/R3K1R1 w Q - 6 18",235,-40,-35,-43
"r3kb1r/1p4R1/p1pp1n2/q1n1pB1b/4P2P/1P3N2/PBPNQP2/R3K3 w Qkq - 7 14",180,34,53,54
"r5qr/p1pkn1p1/1pnbp3/3p2B1/3P2P1/1PPQ3N/P2N3P/2KR3R b - - 0 14",62,145,129,154
"8/6k1/8/4K3/6p1/2pr4/6R1/8 w - - 0 54",0,-100,-119,-90
"8/1pk5/8/2K5/P7/2P4n/4R3/3r1q2 w - - 0 47",-668,-1171,-1290,-1291
"r2r2k1/n1p1b1p1/4p1N1/1pPN3p/p2P1P1R/4B1pP/1P4K1/6R1 b - - 0 31",91,41,59,-10
"6k1/6p1/p6p/Pp3R1P/4p2R/4P1P1/1r1r1P2/5K2 b - - 1 31",-23,-47,-107,-72
"2kr1b2/pppb3q/3npn2/3p1p1P/3P4/BPN1PQ2/P1P2P2/R2K3R b - - 0 15",349,81,108,126
"2kr3r/pppn2p1/5n2/1Pbqp1Np/P3p3/3P4/1NP2PPP/R1BQ1RK1 w - - 1 13",200,-7,0,-5
"r2qk2r/p1p1bpp1/1pnp3p/7n/2PP2bP/P1NB1N2/1PQB1KP1/R6R w q - 8 12",84,41,16,-24
"1k2r3/3r1n1p/Q2nq1p1/1PB2p2/7P/N4P2/P5P1/3R2K1 w - - 3 25",-137,-185,-183,-111
"r6k/8/6KP/5B2/p7/R7/8/8 w - - 5 74",257,443,454,465
"1k1r3r/1pp5/p2p2Rp/3Pq3/4Q2P/1PP5/PK6/4R3 b - - 0 25",76,-58,-32,-51
"r7/2b1pk2/1pP1b1p1/6B1/1n2B1p1/pPR4p/P2R1P2/7K b - - 4 28",82,253,218,220
"1r1q1r1k/2p3pp/4n3/p1p1pN1P/P3bpQ1/2P5/1P3PP1/R3KB1R w K - 0 18",-137,-65,-69,-160
