fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
r1bqkbn1/6p1/2p1n2r/pP1pPQ2/P6p/4PN2/1P1N2PP/R1B1KB1R b q - 4 13,-26.0,-109.0,g8e7,quiet,28,0.114565,83.0,0
8/7K/6p1/Pk3r2/1nR5/8/7P/8 w - - 2 51,-145.0,-142.0,h7g6,capture,8,0.003657,3.0,0
r3k2r/ppq1np2/2ppn2p/8/2PbB2P/P1N2P2/1PQ3PB/1K1R3R w kq - 3 18,235.0,176.0,d1d4,capture,26,0.060948,59.0,0
8/4p1k1/6p1/2P4p/3q2p1/4P1P1/5P2/6K1 w - - 0 36,-790.0,69.0,e3d4,capture,11,0.587532,859.0,0
r7/2k2n1p/4RP2/3n1P1P/p2P4/B4N2/5K2/8 w - - 1 43,364.0,461.0,f3e5,quiet,14,0.043790,97.0,0
r2qk2r/p3n2p/1ppb1ppP/2n5/P1BR4/2P2b2/3N2P1/2BQ1RK1 w kq - 0 16,64.0,72.0,d2f3,capture,25,0.011082,8.0,0
6k1/1p3p1p/2p2r2/3b2B1/1r1p3p/p2B1P1R/P4PK1/7R b - - 1 37,278.0,56.0,f6e6,quiet,19,0.252160,222.0,0
4k3/Nb1p1p2/1P1bp3/6q1/8/p3P2P/3Q2P1/6K1 b - - 0 29,452.0,645.0,a3a2,quiet,15,0.045190,193.0,0
2bqr1k1/2r2pb1/pQ1p1np1/P7/1p1P4/4B3/1P2BPPP/RN3RK1 b - - 4 14,80.0,181.0,f6d5,quiet,25,0.126083,101.0,0
r1bq1rk1/1p4pp/p1n2p2/3pn3/N7/3B1N1P/1PPQ1PP1/R3R1K1 w - - 0 15,68.0,-17.0,d3e2,quiet,25,0.121075,85.0,0
rkbQ1bnr/1p1R4/p1p2pp1/4P3/4Np2/6P1/5P1P/2q2BK1 w - - 0 18,-427.0,-182.0,d8f8,capture,22,0.180817,245.0,0
4r1k1/p4pp1/1p4q1/5n1p/P2P4/1PN2P2/3Q2PP/2R3K1 w - - 8 24,26.0,89.0,d4d5,quiet,19,0.088004,63.0,0
3R4/5pk1/8/6pp/8/2r4P/5PK1/8 w - - 0 43,-137.0,-124.0,d8d5,quiet,9,0.016298,13.0,0
6k1/1p3r2/1p2Q3/6q1/3B4/8/rPB5/7K w - - 1 34,-226.0,146.0,e6c8,quiet,11,0.484555,372.0,0
b2k2nr/3p1ppp/2q5/4R3/1p1p1N2/5PP1/1P5P/1NBQ2K1 b - - 0 13,-9.0,-60.0,c6f3,capture,21,0.072550,51.0,0
r1b1kb1r/1pp2p2/2n3p1/pB1n3p/P3N3/5P2/1PP1N1PP/R1B1K2R b KQkq - 1 9,-2.0,8.0,d5b4,quiet,26,0.014389,10.0,0
8/2r1k2p/1bB5/4pp2/1P5P/1N4P1/5P2/1R4K1 b - - 0 34,-382.0,-28.0,c7c6,capture,14,0.359949,354.0,0
8/8/3p1rnk/1N1Pp2p/1p2P2P/1Pp5/K1P5/7R b - - 7 59,127.0,91.0,h6g7,quiet,16,0.046995,36.0,0
r2q1rk1/pb3p1p/1p1b1n2/2p2p2/3p4/PP5P/1BPPNPP1/RN1QR1K1 w - - 0 13,-96.0,-119.0,d2d3,quiet,28,0.030115,23.0,0
rnb2rk1/1p2qpbp/2pp3p/p7/1P1P4/3BPNP1/P2N1P1P/2RQK1R1 w - - 0 10,35.0,34.0,b4a5,capture,28,0.001425,1.0,0
4Q3/3R3r/5K2/4n3/p3k3/P7/8/8 b - - 1 66,-700.0,-718.0,h7h6,quiet,8,0.001693,18.0,0
1r2k2r/4bpp1/P2qb2p/8/2pP4/2n2B2/1P4PP/R1BQ1RK1 w - - 0 18,16.0,394.0,b2c3,capture,22,0.383186,378.0,0
r2q2k1/p3Bpp1/2p2n1p/4Q3/2Pp4/1N1P2Pb/P4P1P/R5K1 b - - 3 22,127.0,15.0,f6g4,quiet,22,0.153467,112.0,0
rq2kbnR/2pb1pp1/8/p1n5/1pP1p3/4BNP1/PPQNKP2/R7 w q - 0 16,154.0,320.0,e3c5,capture,25,0.155027,166.0,0
1k3b1r/8/p1p3pn/P3P2p/4NP2/4P3/1r3P1P/3R1K2 b - - 1 21,245.0,428.0,b8c7,quiet,18,0.117744,183.0,0
2k1r3/1r1q4/5Q1p/1P3p2/4p3/N1P1P3/2KP4/2B2B1n w - - 5 25,63.0,-15.0,a3c4,quiet,17,0.111257,78.0,0
8/2R3p1/r7/3kP3/3b4/6pP/2PB2K1/8 b - - 0 34,-47.0,-26.0,d4e5,capture,11,0.029882,21.0,0
r1b1k2r/pppp4/4n1pp/3Qp1q1/4P3/1PN1P3/P1P3PP/R3KB1R w kq - 3 12,18.0,-47.0,f1e2,quiet,26,0.093110,65.0,0
5kn1/ppq3p1/2r2p2/3p3p/Pb4b1/1P1BPN2/1Q2KPPP/7R w - - 0 21,-322.0,-356.0,b2d4,quiet,23,0.021330,34.0,0
8/3b2k1/3P4/K7/8/8/8/8 w - - 0 77,-16.0,-276.0,a5b6,quiet,4,0.307435,260.0,0
8/8/8/3Nn3/8/1r6/3k3K/8 w - - 10 60,-556.0,-580.0,d5f4,quiet,5,0.004878,24.0,0
r7/P1p2pbp/2kn2b1/2pp4/2r2N2/5P2/R2BNKP1/7R b - - 2 25,366.0,254.0,d5d4,quiet,20,0.079709,112.0,0
r4b1r/p1pq1k2/P3pn1p/R1p2pp1/1pP2P2/1Q1P2P1/1P1NP2P/2B1K2R b K - 3 13,-52.0,4.0,g5g4,quiet,28,0.080036,56.0,0
r3k1nr/1ppb2pp/p7/P1b1Pp2/2PP4/7P/2N1B1P1/R1B1K2R b - - 0 20,-124.0,-137.0,c5e7,quiet,24,0.016298,13.0,0
2kr3r/2p2pp1/pp6/4pPPp/P1n1P2P/2Pb1B2/P6R/R3K1B1 b - - 5 19,221.0,99.0,f7f6,quiet,24,0.142378,122.0,0
1k1r4/pbp2p2/5B1p/2bq1B2/8/pP4P1/2PP2PK/R4R2 w - - 6 22,-613.0,-608.0,f5h3,quiet,20,0.000808,5.0,0
8/2rBK3/1k5P/8/p7/8/2b1R3/8 b - - 2 54,-56.0,60.0,a4a3,quiet,8,0.165398,116.0,0
3k4/1p1n1r2/3p4/p4PKp/2R5/2P5/PP6/8 w - - 2 42,-97.0,-261.0,c4e4,quiet,13,0.181861,164.0,0
2k3r1/7R/p6p/P1p5/2P5/3Pr1b1/1P4B1/1Q5K b - - 4 33,-239.0,-207.0,e3e1,quiet,15,0.031290,32.0,0
2rqr1k1/1p3ppp/p3bn2/P2p4/1b6/1P1QPB2/1B1N1PPP/R2R2K1 w - - 7 15,-57.0,-91.0,b2f6,capture,26,0.046743,34.0,0
4k2r/1q1n1p2/4p3/1p4p1/1QpPb3/2P2N1P/4PPB1/5RK1 w - - 0 20,44.0,34.0,f1d1,quiet,20,0.014210,10.0,0
2k5/8/pp2p3/2p2p1p/2Pn1P2/PP1N2PP/8/2N2Kb1 b - - 2 28,141.0,159.0,g1e3,quiet,18,0.021616,18.0,0
1rb2rk1/2p3p1/2qb1n1p/1p2p3/1P6/2N1PN1P/1BPPQ1P1/1R3RK1 b - - 0 13,103.0,60.0,e5e4,quiet,25,0.058535,43.0,0
8/8/8/1r4p1/4K3/5P2/3B2k1/8 b - - 18 73,237.0,247.0,g2h3,quiet,6,0.009173,10.0,0
8/1k1p3p/p1b4P/8/8/3r2q1/2K5/2R1R3 w - - 0 35,-977.0,-1015.0,e1e7,quiet,11,0.000705,38.0,0
6k1/2R4p/p2pr1p1/8/p2b4/1P4P1/6KP/8 w - - 0 30,-502.0,-475.0,b3a4,capture,13,0.008315,27.0,0
3rk1r1/4n2p/pp3p2/b1p4q/2P1P3/PR2QN2/4PKBP/7R w - - 2 23,4.0,52.0,b3d3,quiet,22,0.068524,48.0,0
r4b1R/5k2/1p3p2/1b1P4/p1p5/2N1P2P/3B1K2/8 w - - 0 32,-81.0,139.0,c3b5,capture,15,0.304508,220.0,0
1k6/2bR4/5r2/p6p/2K1N3/7P/5P2/8 b - - 17 52,52.0,7.0,f6f4,quiet,10,0.064208,45.0,0
8/4R1pk/7p/5p2/3pn3/2q2PPn/4B3/3Q1K2 b - - 0 54,41.0,411.0,e4g3,capture,14,0.355459,370.0,0
5Q2/6pk/2q1pn1p/4Pp1P/4RP2/3P1K2/r7/8 b - - 9 45,373.0,1441.0,f5e4,capture,15,0.104347,1068.0,0
