fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
2kr1b1r/pbqp2pp/2n1p3/2pn2N1/1pN2P2/PP1PP3/1BP1Q2P/R3KBR1 b Q - 4 12,-228.0,-37.0,c8b8,quiet,30,0.234880,191.0,0
7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54,34.0,-24.0,c6e5,quiet,8,0.083258,58.0,0
3r4/1p3p1k/7p/5Np1/pB6/P4Q1P/1bq2PP1/4R1K1 w - - 4 26,318.0,389.0,f5e3,quiet,18,0.041893,71.0,0
8/7R/6P1/6kP/8/3p4/6K1/3r4 w - - 7 62,-6.0,1038.0,g6g7,quiet,7,0.506099,1044.0,0
8/8/1ppk1r2/p1b1p1RP/P1PpBr2/1R3P1K/8/8 w - - 1 31,-354.0,-81.0,h3g2,quiet,17,0.270206,273.0,0
4rr1k/1p4pp/5n2/pPB1q3/1p2pb2/1Q5P/P1R1BPP1/4K2R b - - 8 19,332.0,249.0,f8g8,quiet,23,0.063724,83.0,0
4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48,-432.0,-633.0,b6b5,quiet,5,0.051304,201.0,0
1k1rr1b1/1ppq3p/p4bn1/5p2/3p4/P2P1NP1/1PPBPQBP/R2K1R2 w - - 6 19,-103.0,-5.0,a3a4,quiet,27,0.136839,98.0,0
Q7/2kr1p2/4p3/1B6/8/B2n3b/P7/6K1 b - - 2 30,-252.0,-580.0,d3e5,quiet,11,0.155639,328.0,0
8/6K1/8/8/8/2p1k3/8/2N5 w - - 0 53,-34.0,-99.0,g7g6,quiet,4,0.089963,65.0,0
2rqk1r1/p4p1p/1p1pnp1b/8/2P1P3/2NQ3P/PP3P1P/3RKB1R w K - 7 16,304.0,213.0,c3e2,quiet,25,0.078808,91.0,0
2bq2k1/p5pp/1p1b4/3p4/1P1p1P2/P4P2/1N3K1P/3Q1B1R w - - 1 18,247.0,310.0,d1d4,capture,20,0.050624,63.0,0
r1bqk2r/4ppbn/2np4/7p/2NpP1pP/p2B2N1/2PB1PP1/R2Q1RK1 w kq - 0 13,-95.0,0.0,c4a3,capture,28,0.133408,95.0,0
2r3k1/3r2p1/3np3/1p1b1pR1/p1pP1P2/P1P5/1P1N1KB1/R7 w - - 3 25,-130.0,-129.0,g2d5,capture,21,0.001256,1.0,0
2r3k1/4p3/4b1p1/4Pp2/6Pp/pP2B2P/Pr1R1PK1/R7 w - f6 0 34,17.0,-15.0,e5f6,capture,19,0.046019,32.0,0
r7/1pp1k1pp/4b3/pPP1p3/P2rP2P/4K3/6P1/RN5R b - - 2 20,86.0,131.0,d4c4,quiet,20,0.058774,45.0,0
7r/1p2kp1p/2n1b1p1/1Nn5/2P3P1/2P3KP/4B3/R3R3 b - - 2 24,-104.0,-125.0,h8d8,quiet,18,0.027157,21.0,0
