fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"r4k2/q5p1/2Q5/1p2p1P1/2n1p1b1/8/5PP1/5RK1 b - - 1 25",384,a8d8,8,415.0
"8/4k1p1/2p1p3/p2r2P1/1pN1K3/1P4R1/P7/8 w - - 4 36",333,c4e3,8,277.0
"r1b1kr2/p1q1n1p1/1ppp1p1p/4p3/P1B1P2P/1QP1NPP1/3R2K1/R7 b q - 3 16",238,f6f5,8,95.0
"8/5kp1/8/R7/1r6/5P1P/6P1/6K1 b - - 0 38",-410,f7f6,8,-129.0
"8/5rpk/2b1p2p/2q1Pn2/1pP5/p2R3P/4Q1PK/B1R5 w - - 4 41",-161,e2e1,8,-110.0
"8/k7/1pq5/p2p1p2/P4Pp1/1b2P1Pp/3Q3P/6KB w - - 1 46",-417,g1f2,8,-223.0
"r1bqk2r/pp3pp1/1p2p3/3pP2p/1P1Pn3/2PQ3N/1B3PPP/RN3RK1 w - - 0 13",652,b2c1,8,332.0
"rnb1k2r/pp1pb2p/4p3/2pn4/5B2/3P1N1P/PPP1B1P1/RN1K3R w kq - 1 10",45,f4e5,8,12.0
"r4rk1/1p1N3p/2p3qp/p3Q2N/P2P4/5PPb/1P5P/R5K1 w - - 5 25",399,d7f8,8,-47.0
"6k1/pp5p/2p1pbp1/2Pr1p2/1PQ5/PR6/4B1P1/q1B2K2 b - - 2 27",-19,f6g5,8,101.0
"4r1k1/4R2p/p1b3p1/r6n/3B2P1/2Nn4/1p2N2P/5RK1 w - - 1 29",-73,e7e8,8,-285.0
"1r4k1/6p1/5n2/Rb6/3P4/Br4P1/1P3P2/2R3K1 w - - 1 44",-180,a5a7,8,-38.0
"4q3/1Q6/6pk/P1p5/3pB2P/4n1P1/2P1K3/8 b - - 0 35",-130,e8f8,8,-183.0
"r1b3k1/1p3Rb1/2pq3p/8/PpPpBN2/1Q2p1P1/1P2P3/1K6 w - - 2 27",333,c4c5,8,-57.0
"8/2kr2p1/2npb1pp/1p6/1P2P2P/2P2P2/3R1KP1/3R4 b - - 4 42",103,e6g8,8,-57.0
"2kr4/1bp4p/3br1p1/RP6/3BN3/2P1PN1P/4K1P1/7R b - - 0 17",-222,e6e4,8,-541.0
"1r1q2rk/1p3n1p/pNp2p2/P2p4/3P2Q1/2P3b1/1P4R1/R1B3K1 w - - 1 25",-190,g4e6,8,-229.0
"r1bqk2r/p1n1ppbp/3p1np1/PPpP4/2B2P2/2N4P/1P1B2P1/R2QK1NR b KQkq - 2 11",120,e7e6,8,70.0
"2k5/7p/r1qp1Q2/nN1Nn3/2P5/4P3/7P/R6K w - - 1 37",483,f6h8,8,195.0
"5k2/R7/3r4/5KP1/8/p7/8/8 b - - 9 50",-4,d6c6,8,-89.0
"8/5rp1/4Qpk1/7p/8/P1R2qP1/KB6/8 b - - 1 37",-342,f3g2,8,-180.0
"2k5/8/2n5/p7/5P2/2NK4/1pr5/R7 w - - 0 51",64,a1b1,8,-158.0
"5rk1/1qpn1pp1/3pp2p/Q7/2PN4/4PP1P/3P2K1/R7 w - - 2 24",-7,a5b5,8,-117.0
