fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"1kb5/4r3/1ppp1np1/p3p1N1/P1P1Pn2/2NP4/1PK2P2/3B3R w - - 0 33",19,h1h6,8,-11.0
"rnb1k2r/1pq3pp/2P2n2/p7/P2Pp3/1Pb1P3/3B2PP/R2QKBNR w kq - 0 10",77,d2c3,8,-94.0
"8/4k3/2P1b3/8/1P6/5B2/8/4qQK1 b - - 16 78",10,e1b4,8,-142.0
"r1b1kb2/1p2q1p1/p4n2/3Bpp1p/P3p2P/1PN5/2P2PP1/R2QK2R b KQq - 1 13",532,e7b4,8,38.0
"r6r/2Q1qkn1/p2pp3/1p1b1p2/1P1N4/B1PB4/P2P1P1P/1R2K3 w - - 0 20",-403,c7e7,8,59.0
"7r/1pk3pB/2p2p2/p1n5/3N1b2/2P5/PPK3PP/4R3 w - - 0 22",8,e1e7,8,83.0
"7k/r7/1p2qp2/1Bp5/P6P/2P1b1p1/1KQ5/5R2 w - - 0 40",-51,c2e2,8,-89.0
"r2qk2r/pp3ppp/2nbbn2/8/P7/3N1N2/1BPP1PPP/R2QKB1R w KQkq - 4 9",29,a4a5,8,47.0
"1r4k1/Q4p2/3q2p1/3p3p/2p1r2P/P1P2NP1/KPP2P2/5B1R b - - 0 23",-213,e4e7,8,-93.0
"3r4/p5k1/1p3qp1/2pp3p/P6N/1PP3P1/3P3P/1K2Q3 b - - 0 28",449,d8f8,8,257.0
"4qrk1/r1pb1npp/3p4/3Qn2B/p4N2/2PP2P1/PP5P/R1B2RK1 b - - 6 17",-53,d7c6,8,-24.0
"r4b2/1p6/3k1pP1/7R/2PN1p2/1K1P3P/5P2/8 b - - 2 33",-501,b7b6,8,-281.0
"2kr1b1r/1p2qppp/p1n4n/2PB2N1/8/2N1BQ2/PPP2PP1/R3K3 b Q - 4 10",-152,e7f6,8,148.0
"2r3k1/1p3ppp/p7/8/1P6/b1P1P3/4NPPP/3R2K1 b - - 0 22",-124,a3b2,8,-66.0
"5k2/3nbpp1/2q5/2p1p3/4P3/r4PP1/1BQPKN2/3R4 b - - 7 26",69,c6a6,8,75.0
"7r/1N3p2/p3k2p/2Pp4/3Pn3/1P2K1P1/n6P/5R2 w - - 0 29",-295,c5c6,8,-256.0
"r1b2r2/1p3ppk/3p4/p1q5/8/N4Q2/RP3PPP/5RK1 b - - 0 15",148,c5f5,8,28.0
"7r/ppR3pp/4k3/5p1P/3n3P/1P3PKB/P7/8 w - - 0 29",213,h3f1,8,200.0
"8/1kb5/pr6/8/8/8/Q1K5/8 b - - 17 60",-7,c7b8,8,95.0
"2r3k1/5pp1/8/pr1p4/3PnP2/R3P1P1/1PP4P/2K1BR2 b - - 1 26",-323,b5b2,8,-85.0
"r1bqrbk1/1p3ppp/2p2n2/p1np4/3N4/PPN1PPP1/1BPQ2BP/4RRK1 b - - 4 12",76,c5e6,8,108.0
"r2q1b1r/1p2kB1p/pp1p4/4p1N1/5nQ1/2P5/P5PP/R3K1R1 w Q - 6 18",235,g2g3,8,-33.0
"r3kb1r/1p4R1/p1pp1n2/q1n1pB1b/4P2P/1P3N2/PBPNQP2/R3K3 w Qkq - 7 14",180,g7g5,8,92.0
"r5qr/p1pkn1p1/1pnbp3/3p2B1/3P2P1/1PPQ3N/P2N3P/2KR3R b - - 0 14",62,g8h7,8,0.0
"8/6k1/8/4K3/6p1/2pr4/6R1/8 w - - 0 54",0,g2g4,8,-356.0
"8/1pk5/8/2K5/P7/2P4n/4R3/3r1q2 w - - 0 47",-668,e2e7,8,-1391.0
"r2r2k1/n1p1b1p1/4p1N1/1pPN3p/p2P1P1R/4B1pP/1P4K1/6R1 b - - 0 31",91,e7h4,8,-65.0
"6k1/6p1/p6p/Pp3R1P/4p2R/4P1P1/1r1r1P2/5K2 b - - 1 31",-23,b2b4,8,122.0
"2kr1b2/pppb3q/3npn2/3p1p1P/3P4/BPN1PQ2/P1P2P2/R2K3R b - - 0 15",349,f8h6,8,181.0
"2kr3r/pppn2p1/5n2/1Pbqp1Np/P3p3/3P4/1NP2PPP/R1BQ1RK1 w - - 1 13",200,d3e4,8,-152.0
"r2qk2r/p1p1bpp1/1pnp3p/7n/2PP2bP/P1NB1N2/1PQB1KP1/R6R w q - 8 12",84,c2a4,8,127.0
"1k2r3/3r1n1p/Q2nq1p1/1PB2p2/7P/N4P2/P5P1/3R2K1 w - - 3 25",-137,a6c6,8,-7.0
"r6k/8/6KP/5B2/p7/R7/8/8 w - - 5 74",257,g6h5,8,376.0
"1k1r3r/1pp5/p2p2Rp/3Pq3/4Q2P/1PP5/PK6/4R3 b - - 0 25",76,e5h5,8,-77.0
"r7/2b1pk2/1pP1b1p1/6B1/1n2B1p1/pPR4p/P2R1P2/7K b - - 4 28",82,a8a5,8,183.0
"1r1q1r1k/2p3pp/4n3/p1p1pN1P/P3bpQ1/2P5/1P3PP1/R3KB1R w K - 0 18",-137,f5h4,8,-63.0
"5Q2/8/8/8/6N1/6K1/1k6/8 w - - 1 61",609,g3f3,8,1187.0
"1r5r/1p2R1Q1/1kppB3/p3n3/3qP3/P7/KP6/6R1 w - - 3 35",-154,g7g2,8,-5.0
"rn2k1nr/pp1qppb1/3p2p1/3N3p/3N4/6P1/PPP1PP2/R1BQ1RK1 w kq - 2 9",-231,c2c4,8,105.0
"r3k2r/2qnn2p/1pppBpp1/4p3/3PP3/1QP2N2/5PPP/2R2RK1 b kq - 1 15",-49,e8f8,8,-1.0
"2r1k3/p1pq1n2/1pn2p2/8/3PPB2/2P5/P3NK2/6RQ b - - 3 19",-178,c6e7,8,-66.0
"5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35",457,a2a1q,8,-285.0
"2B5/2p5/1p6/p2k4/P2B1n1P/1P6/5P2/2b2K2 w - - 2 52",216,d4g7,8,179.0
"r3kb1r/1ppb1q2/2n2npp/p3p3/4N2P/2PPBP2/PP6/R2QKBNR b kq - 3 10",218,e8c8,8,182.0
"8/5k2/8/n2K2b1/8/5N2/8/8 b - - 1 58",25,f7f6,8,219.0
"8/1k5r/p7/p7/8/8/1B1KN3/8 b - - 1 47",16,b7b6,8,101.0
"1k4rr/1pN5/p7/q2ppQ1p/4n3/b3P1PP/2R1B1K1/1R6 b - - 0 25",210,g8g3,8,253.0
"r1q3k1/1p3rpp/p2p4/2nPp1b1/P3Pn2/R3BP2/1P1NN3/3K1Q1R b - - 5 19",203,f4e2,8,116.0
"7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54",127,c6d8,8,48.0
"1k6/3B4/8/4p3/4p3/2b1Pb2/3N4/4K3 b - - 69 76",46,b8c7,8,265.0
"rb3Q2/1p1q3k/4p3/3p2p1/p2pb3/B3P2P/2r2PP1/R5KR w - - 2 28",-262,a1e1,8,-224.0
"2k5/2p5/3r1n2/7p/Q7/P4q2/1P6/K5R1 w - - 15 55",-475,g1e1,8,-240.0
"R2b4/3k4/1p4p1/3K3p/8/4B2p/2r5/5R2 w - - 5 35",383,a8a7,8,156.0
"8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27",-21,c5c4,8,17.0
"r1b2r1k/1p4pp/p7/2PQN3/4p3/q6P/6PK/1R2R3 b - - 1 23",-215,c8h3,8,-11.0
"rn2k2r/pp1q2pp/3p1n2/2p2p2/3p1P2/PR2PN2/P1PB2PP/3QK2R w Kkq - 0 9",-60,e3d4,8,-119.0
"r1bk3r/ppp2pb1/5nn1/6Bp/4P3/P1p5/1PP2PP1/R3KBNR w Q - 0 12",-300,e4e5,8,-117.0
"r2q1r1k/4b1pp/2p2p2/2n5/p2pP3/3P1N2/1PQB1PPP/R4RK1 w - - 1 18",124,c2c4,8,62.0
"rn1qr1k1/1ppb1p1p/3p2pb/p4p2/2PP1N2/1PNBn3/P5PP/R1BQ1RK1 w - - 0 9",-356,d1f3,8,-45.0
"r1bqkb1Q/p1p5/4p1p1/8/Np2p3/5n2/PPP2PKP/R1B2R2 b q - 3 12",187,d8h4,8,126.0
"2kr1b1r/pppbq3/2n4p/3Bpp2/3P3R/4P1P1/PPQBNP2/R3K3 w Q - 1 12",178,d5c6,8,-11.0
"r3k2r/1b3pp1/1Np1p1q1/pPPpPn2/8/b3BBPp/4QP1P/1R3RK1 b kq - 1 16",8,a8d8,8,-134.0
"2bN2nr/7p/p4k2/1p6/5bp1/6P1/PP3K1P/3R3R b - - 0 26",299,f4c7,8,235.0
"2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27",-168,d2b2,8,-23.0
"r3kb1r/3n1ppp/4pn2/1P6/pp1PpB1P/8/1P1NNPP1/R3K2R w Qkq - 0 13",-224,d2c4,8,-93.0
"8/1P1b1pk1/Q3n1p1/4q3/P3P3/1r1p4/5PPP/R4RK1 w - - 0 30",55,a1b1,8,119.0
"3rr3/2pk1bp1/2n3Np/p1P1pp1P/P7/6P1/pR2PK2/B6R w - - 6 24",-346,b2d2,8,-519.0
"4Qb1r/2pq2pp/p1n2k2/1p6/1P1p1p2/P1N2P2/1BP3PP/2KRR3 b - - 0 18",-509,d7e8,8,-332.0
"2kr3r/ppN2pp1/2p1bn1p/2b5/4P3/1P3n1P/PBPQB1P1/2KR3R b - - 0 11",218,f3d2,8,-333.0
"r2q1rk1/pppnppbp/6p1/6B1/1n2PN2/7P/1P1N1QP1/3R1RK1 w - - 1 15",-153,f2h4,8,-103.0
"7r/1p2kp1p/2n1b1p1/1Nn5/2P3P1/2P3KP/4B3/R3R3 b - - 2 24",-214,e7f6,8,-125.0
"8/5p1k/5Qp1/3q3p/7P/6PK/7R/1r6 b - - 15 59",364,d5d7,8,346.0
"2r2k2/4n1p1/1p6/1QbP1P2/1p2P3/8/P3K1Bq/2R1B3 w - - 1 29",-425,c1c5,8,139.0
"8/8/8/8/8/p2PK3/2k5/B7 b - - 5 59",-322,c2b1,8,-99.0
"2r1r1k1/p6p/Q1B1p3/8/3q3b/B6P/P1K3P1/1R6 b - - 2 26",625,d4e4,8,468.0
"1r1k4/1bR5/8/R3P3/Pp3pP1/3B4/n4KPP/8 w - - 3 35",648,c7h7,8,722.0
"4kbQ1/8/p4p2/1p2p3/1P4bq/2P5/P2RN1K1/8 b - - 12 42",95,g4h3,8,27.0
"r1b2rk1/ppb1n1pp/3P4/2p5/4q3/2P1N1PP/PP2Q3/R1B1KBR1 b Q - 0 14",53,c7d6,8,65.0
"1r3k2/1p3p2/2b5/p1r4p/2Bp4/R4P2/5KPP/4R3 w - - 2 37",-431,c4a2,8,-184.0
"r3k1nr/3b1pp1/pqn1p2p/3pP3/N7/p5P1/1PPN1P1P/R2QKB1R b kq - 0 12",205,b6a5,8,96.0
"4r1k1/1p3p1p/2p3p1/5b2/p4P2/P2q3P/1P1Q1PB1/2R3K1 w - - 0 20",-178,d2d3,8,-237.0
"1r3rk1/pbqp1pp1/4p3/2pn3p/2B1N1nP/PP3N2/2KB2P1/R3Q2R w - - 3 20",-159,f3g5,8,-27.0
"2b1qk1r/1p3npp/3b1p2/Q2N3P/2Pp4/1P3PP1/1P4K1/4R3 b - - 4 21",406,e8d7,8,341.0
"8/7k/1BP5/8/8/2P2R2/5K2/3r1N1r w - - 1 44",443,f2g2,8,413.0
"7r/p1k5/5RN1/7p/P3PK2/8/8/4n3 b - - 15 45",-43,h8h7,8,-107.0
"rnb1kb2/pp3p2/1q1pp3/2p3p1/2PP4/2N3P1/PP2PP2/R2QK1NB w Qq - 1 9",51,d4c5,8,70.0
"Q1b1k2r/2pp2pp/3bp2q/p3N3/3P2p1/4n1BP/PPP1PK2/RN5R w k - 1 13",610,a8c8,8,262.0
"r6r/p1pnk1p1/5p1p/4p3/P3N1P1/2P1B3/2K2P2/3R3R b - - 3 19",-387,g7g6,8,-366.0
"r1bqk2r/1pp3pp/3p4/p3n3/2P3P1/2P5/P3PPB1/R1BQK2R w KQkq - 0 9",110,f2f4,8,76.0
"r1bq1rk1/1p3ppp/3b1B2/p1p5/7Q/2pB1P1P/PPP2P2/R3K2R b - - 0 13",341,f8e8,8,367.0
"1Q1R4/4k3/p2b2q1/p2p4/P2P2P1/5P2/2b1r3/R5K1 w - - 4 32",54,b8c8,8,-44.0
"8/2p3p1/1b4k1/3pp2p/3Pb1nP/1NP3P1/3Br3/R4BK1 b - - 3 29",665,e2h2,8,282.0
"r1b1k2r/p1p2ppp/1p2p3/2np4/P2PPQ1q/5P1P/1PP3P1/RNBK1B1R b kq - 0 9",-595,h4f4,8,-173.0
"1k1r2r1/pbppbpp1/1p2p3/3Pq3/2P1P3/P1NQ4/1PK1B1P1/R6R w - - 4 14",-135,a1f1,8,-115.0
"6k1/8/r5p1/7p/1p3P1P/1Nn4R/4pKP1/3rR3 b - - 0 37",490,a6e6,8,439.0
"r1bq1rk1/3n1pp1/p1pb4/4p1Np/p2PP3/3B4/2P1QPPP/1RB2RK1 b - - 1 11",-9,g7g6,8,145.0
"r3k2r/pp2qpp1/2n1b3/2Q5/3Pp3/7P/PPPB4/2KR1B1R w kq - 3 17",34,d1e1,8,35.0
"r1bqk2r/pp3p2/2n5/2N1p2p/3p1P1N/BP4n1/2QP2P1/R3KB2 w Qkq - 4 16",-194,h4g6,8,-183.0
"8/2kb2p1/p6p/2K5/7P/6P1/P7/8 b - - 1 52",607,d7g4,8,374.0
"2b2rk1/Q3ppbp/6pn/8/8/1P1P4/P2KBPPP/q1B4R b - - 0 15",593,h6f5,8,485.0
"2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13",16,d7d5,8,-117.0
"2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12",26,h3h4,8,34.0
"2b1kb1r/1pp1n1pp/2nq1p2/r7/p7/P1N1BN2/1PQ2PPP/3RKB1R b Kk - 1 9",-273,d6e6,8,-49.0
"5b2/1p1k1p2/2p1b1pr/7P/P2B1P1q/3P2N1/6QP/R5K1 w - - 1 26",138,a1b1,8,-26.0
"6k1/3r1p2/pq4b1/3B2Q1/2p5/P7/1P6/2K5 w - - 0 30",-544,a3a4,8,-395.0
"5r1k/8/pp2R1p1/2pPn3/4Pq2/2N4P/1P2Q1K1/8 w - - 0 39",-166,g2h1,8,45.0
"r2q1rk1/1b2ppbp/1ppp1np1/p7/Pn1PP3/1NN1B1PP/1PP2PB1/R2QR1K1 w - - 6 10",45,e4e5,8,73.0
"8/8/3p1kp1/2p3R1/5BK1/r7/5P2/8 b - - 23 46",-144,a3d3,8,-137.0
"r2nqrk1/1bppb1pp/4pn2/1p3p2/3P3P/2PBPN2/3NQPP1/R1B1K2R w K - 0 12",-77,a1a8,8,-181.0
"1R2nk2/6pp/3N4/5P2/8/5K2/8/4r3 b - - 22 52",-56,h7h5,8,-95.0
"r1bqk3/ppp3bQ/2n5/4p1p1/3P4/2N1PP2/PP4P1/R1B1K1N1 b Qq - 0 12",-157,d8f6,8,-95.0
"r1b4k/2p3b1/p1n2qpp/2Nr1p2/3P1N2/1P2pPP1/PB5P/2RQR1K1 b - - 1 20",-160,d5d6,8,-97.0
"8/8/3k4/p5p1/n2KB3/6P1/P7/8 w - - 1 41",70,e4g6,8,-39.0
"5Q2/3k4/4b2p/1p4P1/8/1nP1B1P1/p3P1B1/3K4 b - - 0 37",15000,a2a1q,8,-533.0
"1r4k1/p1b2rp1/b1p2p2/p1Pq4/3P1P1p/1PB4P/P1Q1N3/2K3RR b - - 0 19",457,b8e8,8,227.0
"8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29",152,f5e4,8,-100.0
"r4r1k/1p4bp/2p2qp1/3npb2/2N5/1PP2PP1/P3QBBP/R3K2R w KQ - 6 18",-40,e1g1,8,-164.0
"3q2k1/4br2/7p/p2p1b2/1n6/1PB1PP1P/1Q4P1/R2R2K1 w - - 3 24",153,e3e4,8,79.0
"5b1r/p1pk3p/1p4p1/5p2/2N2P2/4BK1P/PPP3P1/R7 w - - 2 19",564,e3d4,8,416.0
"1bk5/8/P7/P7/4Kp2/2P5/3B2r1/1R6 w - - 7 47",419,d2f4,8,325.0
"1k1r3r/1pqbnpb1/p1npp1p1/2p5/2P1PB1p/2NP1N1P/PP1QBPP1/1R3RK1 w - - 6 12",133,f1c1,8,-66.0
"2R3bk/4q1bp/5p2/2p2P1P/3pNB2/3P1Q1K/r7/8 b - - 0 40",-129,e7d7,8,-4.0
"2r1kb1r/p3pppp/p1pp4/6qP/3N4/1P2PQ2/P1PN2P1/4K2R w Kk - 2 16",-57,e1g1,8,-198.0
"k7/7R/p7/P3r3/8/KP6/8/8 w - - 6 53",6,b3b4,8,180.0
"2r2q2/4k3/p2ppnQp/R7/1nP4r/2N2P2/1P2BP1P/4K1R1 w - - 6 25",131,f3f4,8,161.0
"r1b1k1nr/ppp2p2/n1q3p1/4P3/1bP5/3PPN2/P3K1Bp/R1BQ3R w kq - 0 12",-290,d3d4,8,-229.0
"5Q2/1p1r1p2/p5q1/6k1/3P2b1/2P4R/4r1RK/8 b - - 13 32",511,e2g2,8,742.0
"2k2b1r/ppp1qpp1/2n2n1p/8/P6P/2BrPN2/1P3PP1/RNQ1K2R w KQ - 0 9",18,b1d2,8,-66.0
"2r1rbk1/B2b1p2/2q3p1/7Q/P4N2/6P1/5P2/R2R2K1 w - - 0 24",27,h5g5,8,22.0
"r1bnkbnr/pp3pp1/2p5/4N3/4PP2/PPN4p/R1P4P/2B1KB1R w Kkq - 0 10",57,a2a1,8,55.0
"2k4r/p1p3p1/1bn2p2/3b3r/QPNp2q1/3P1NP1/3BPPB1/2R3K1 w - - 1 22",254,c4b6,8,-20.0
"r5k1/8/7p/8/p3R3/2r5/5PPP/1R4K1 b - - 0 39",46,c3c2,8,47.0
"8/2K2k2/2P5/1r6/8/1P2R3/2r5/8 w - - 41 67",-152,e3d3,8,-19.0
"8/4k3/8/7r/5p2/8/5K2/R7 w - - 2 72",20,a1a3,8,-142.0
"8/5p2/k3r3/p5p1/R1P3P1/5KP1/8/8 w - - 9 50",-12,a4a2,8,-17.0
"8/8/3K4/1p5k/1P5P/8/8/8 w - - 0 65",695,d6c5,8,286.0
"1r1q1rk1/p1ppbppp/2nn4/3Q2P1/P4B2/2P4N/3N1P1P/R3R1K1 b - - 0 12",115,f8e8,8,10.0
"7k/6p1/3N1b1p/2B2P1P/p3B1P1/P3K3/br6/8 w - - 1 43",-247,c5b4,8,-108.0
"1r1qkb1r/4n1pp/p7/5b2/3P1N1P/2Qp4/PP3PP1/R1B1K2R w k - 0 16",-331,c1d2,8,-107.0
"3rkr2/pbq1n1p1/1Pp1Bp1p/3pp3/4P2P/1QP1NPP1/3R2K1/R7 b - - 0 19",-15,c7b6,8,10.0
"1rbq3r/p3nkp1/3p1p1p/3p4/P2n3P/B2B1P2/2Q2KP1/R5NR w - - 0 13",-203,c2c3,8,-224.0
"4r3/6kp/1P3bp1/3Q4/3P3q/2B4b/1R3PBP/7K b - - 0 34",-119,h4f4,8,-479.0
"4r3/6k1/2p2p2/p1Pp4/Pp1r2nP/1P2P1P1/3BR1N1/1K6 w - - 0 55",-316,b1b2,8,-202.0
"8/8/r7/5k2/6Rp/3K3P/8/8 b - - 3 56",9,a6f6,8,53.0
"8/5p2/3np3/2kp4/1p5r/2NB4/2PP4/2K2R2 w - - 0 32",93,c3d1,8,-2.0
"8/5k2/8/6p1/7P/8/4RK2/2r5 w - - 2 60",14,h4g5,8,-41.0
"2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10",-20,c1a3,8,50.0
"4k2r/p2bP3/8/2N5/6pp/5r2/PP1R4/2K1R3 w - - 0 39",573,d2d7,8,136.0
"r2q1rbk/pp2n1pp/2nb1p2/3P4/3P4/1NN2B2/PB4PP/R2Q1RK1 b - - 0 15",119,c6b4,8,58.0
"8/3k4/2b2B2/8/1p2P3/b3R3/8/1K6 b - - 2 50",-42,b4b3,8,-104.0
"r2qk2r/1b2ppbp/pnpn2p1/Pp1pN3/1P1P1P2/2PBP3/6PP/RNBQ1RK1 b kq - 0 9",36,b6c4,8,-74.0
"r1b2rk1/1pq1bppp/5n2/pBn1p3/N3P3/P4PP1/1BPQN2P/R3K2R b KQ - 2 12",228,f8d8,8,186.0
"r1bq1rk1/1pp5/p4n1b/3P1p1p/2P1p3/1P1QP2R/P1N1B1PN/2KR4 w - - 0 16",-161,d3d2,8,26.0
"r2kbR2/ppq5/3p4/n6r/2P1PNp1/2PB2Q1/P2K3P/1R6 b - - 5 23",-285,a5c4,8,-165.0
"8/7k/5Q2/8/6PK/8/3q1P2/8 w - - 15 54",358,f6f5,8,322.0
"r1bqkn2/1p2b1Qr/p3pp2/3p4/2PP3p/1P4P1/P2N1PB1/R1B1R1K1 w q - 1 15",83,g7g8,8,265.0
"7r/p1Q5/N2Pbpk1/1P2r3/7p/6p1/3P4/2R3K1 w - - 3 35",181,d6d7,8,328.0
"1n3b2/3p2k1/r1b1r2p/p6Q/1pPp4/8/PP1N1PPP/5RK1 w - - 9 27",-33,d2b3,8,8.0
"2k4r/p1p1r3/2p2p1p/3b2pN/7n/1P1N3P/P4P2/R4KR1 b - - 5 26",514,h4f3,8,227.0
"8/1p6/2pk4/P7/6b1/2P1B2p/2B4K/8 w - - 5 46",340,e3d4,8,341.0
"5kn1/ppq3p1/2r2p2/3p3p/Pb4b1/1P1BPN2/1Q2KPPP/7R w - - 0 21",-490,b2d4,8,-343.0
"8/2bB1k2/7p/4p1pP/1pb1P1P1/1N6/1BP5/1K6 w - - 3 36",393,b3d2,8,430.0
"8/2k5/6b1/6P1/P2p4/8/2BK4/8 b - - 3 48",-356,g6e8,8,-48.0
"r2q1k2/3p2bp/p5pn/8/R1Pp4/1P1N4/4BPPP/4K2R w - - 1 19",-495,d3b4,8,-120.0
"r1b1kb2/pp2p1pr/1npq1nN1/5p2/P1BPp3/6R1/1PP2P1P/1NBQK2R w Kq - 10 10",-64,c4b3,8,49.0
"r1b2rk1/ppq1bppp/8/8/1PN1PPnP/5N2/P2BQ3/2R1KB1R b K - 2 12",-178,e7b4,8,-90.0
"2r3k1/6pp/1p1Bbp2/3p4/p7/P3PPK1/1Pr3PP/1R5R b - - 5 29",36,h7h5,8,93.0
"5r1k/1Rb1r2p/5q2/p6p/2PR2P1/2Q2p1K/PP3P1P/8 w - - 0 30",-444,d4f4,8,-215.0
"2k1r3/7p/pp1r1ppP/8/Pn5Q/1bN2P2/1P6/1K5R b - - 1 27",60,b4d3,8,157.0
"3k4/7p/rp1P1p2/1R6/4p3/bB2P2P/1r6/K2R4 w - - 1 31",-107,b3c4,8,-4.0
"r2k1b1r/pb1p1n1p/1pp1q3/P7/3Q4/RPP2P2/1K6/1NB2BR1 b - - 0 16",125,f8c5,8,98.0
"4kb1r/r2b1ppp/p3p3/2p5/1nP2B2/3P2P1/1q2B2P/1R1QK2R b k - 1 17",363,b2c3,8,398.0
"1R6/5p2/4p2p/k2pP2P/2bP4/5P2/7r/2K5 w - - 6 62",-396,b8b7,8,-513.0
"8/3R4/5r1p/R3pk2/5n1P/3p4/5P1P/5K2 b - - 3 31",44,f6b6,8,97.0
"1nbq1rk1/r3bppp/p4n2/2pp4/3P4/1PPB1N1P/R4PP1/1NBQ1RK1 b - - 0 10",-25,b8c6,8,50.0
"8/2R2pk1/6p1/7p/7P/6PN/rr3PK1/8 w - - 27 50",-65,c7d7,8,-416.0
"2bk4/4n3/pp1N4/2p5/5nB1/2P5/PP2R3/2K5 w - - 3 42",415,e2e7,8,379.0
"2b1k3/p4pb1/3Bn1q1/3p4/1p1r4/1P2N3/P2N3P/3QR2K w - - 6 25",-143,d6g3,8,0.0
"3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21",-187,a1a3,8,64.0
"Q1rk4/3n4/3b4/6q1/1p1PR3/6N1/P5K1/8 w - - 8 54",-477,e4e5,8,-242.0
"r3k2r/p1qnppb1/b2p1np1/2pP2B1/2N1P1p1/P1NB4/1PP2P1P/R2QK2R w KQkq - 4 9",-136,c4e3,8,-117.0
"k7/2b1nQ2/3p3R/2p1p3/2P5/p2qP3/P4P2/2K5 b - - 5 42",138,d3f1,8,-1.0
"8/5npk/4N3/3q4/p6P/4Q1P1/5P1K/8 w - - 16 54",39,e6f8,8,9.0
"7k/bpp4p/5N2/p4P2/P5P1/2P1p3/1P1r3P/2KB4 w - - 1 33",-430,g4g5,8,-12.0
"r2qkbr1/1pp2p2/p1n1b3/3pp3/8/2NPBN1B/PPP1PP1P/R2QK2R b KQq - 0 9",92,e6h3,8,-171.0
"4r1k1/pp4p1/2n3B1/7r/4p3/1P6/PBP5/3RK3 w - - 0 24",557,g6h5,8,-171.0
"8/2r1k2p/1bB5/4pp2/1P5P/1N4P1/5P2/1R4K1 b - - 0 34",3,c7c6,8,-425.0
"r3r1k1/1pp2pb1/p1n2qp1/3Npb1p/2P5/3PP1P1/PB3PBP/R2Q1RK1 b - - 3 12",-14,f6d8,8,54.0
"6k1/8/6p1/P1Q4p/5P1P/8/1q2BK2/8 b - - 0 37",-514,b2f6,8,-441.0
"3r2k1/1p2qpp1/p1n4p/P1bb1P2/4p1PP/2B1P2K/1P2B3/2RQ1R2 w - - 4 24",93,d1e1,8,269.0
"8/8/8/7n/8/1K2k3/8/1N6 w - - 1 72",18,b1d2,8,29.0
"2k3r1/1q1r4/npp1pp2/3p1p2/P2PnB1p/1Q1N3P/1R4P1/2R3K1 w - - 2 22",276,b3b6,8,-84.0
"3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28",-321,e1e3,8,-182.0
"1r1q1rk1/1b1n1pp1/p6p/1pp1P3/3p1PB1/P2P4/2QN2PP/R4RK1 b - - 2 14",129,f7f5,8,150.0
"3r4/6rk/3b1p2/p1p2P1p/P1B1K3/1PR1B2P/8/8 b - - 6 32",338,d6e5,8,86.0
"r1b1kb1r/pp4p1/2n1pn1p/3p1p2/3P1B1P/1qP1P2N/2N2PP1/R2QKB1R w KQkq - 0 9",-38,d1d2,8,80.0
"6r1/1P1Q4/3pPk2/8/7P/pP3p2/4p1rP/2R1R2K w - - 2 46",806,d7f7,8,1315.0
"7R/1pR5/2b1p2P/3pP3/p1kP4/P7/2r4r/1KB5 b - - 1 40",421,c4c3,8,-23.0
"8/5k2/R5pp/P3pp2/2r5/P7/6KP/8 b - - 0 35",323,h6h5,8,25.0
"2rk1b2/q3r2p/2p3p1/2N2p2/PP1PBP1P/3Q2P1/1B6/R4K2 b - - 0 30",-238,e7e4,8,-352.0
"r2q1rk1/5ppp/pp1bp3/6P1/2pNnP1P/4P3/PBQP4/R3K2R b Q - 1 15",134,e4c5,8,184.0
"8/R7/3n3p/1p6/p3k3/4P3/4K2P/8 w - - 6 49",184,a7a5,8,-63.0
"2rq1rk1/1b1n1pbp/p3p1p1/1p6/3PBN2/1P4P1/PBP1QP1P/R4RK1 b - - 0 12",-54,b7e4,8,-25.0
"r1bqkb1r/1p2npp1/p1p1n3/3p3p/7P/2NP2P1/PPP1NPB1/R1BQK2R w KQ - 0 9",-19,e1g1,8,-56.0
"r3k1nr/1ppb2pp/p7/P1b1Pp2/2PP4/7P/2N1B1P1/R1B1K2R b - - 0 20",-358,c5a7,8,-96.0
"3r2k1/p4pb1/4pnp1/4N3/P1pP1P2/1rN3PP/1n4K1/R1B2R2 b - - 0 24",247,d8d4,8,183.0
"r1bq1rk1/pp2nppp/2nb3P/PB1p4/1P1Pp3/2P5/5PP1/RNBQK1NR b KQ - 0 9",170,g7g6,8,54.0
