fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54,-18.0,-133.0,c6e5,quiet,8,0.156689,115.0,0
3r4/1p3p1k/7p/5Np1/pB6/P4Q1P/1bq2PP1/4R1K1 w - - 4 26,205.0,318.0,f5e3,quiet,18,0.096867,113.0,0
8/7R/6P1/6kP/8/3p4/6K1/3r4 w - - 7 62,110.0,1108.0,g6g7,quiet,7,0.345087,998.0,0
8/8/1ppk1r2/p1b1p1RP/P1PpBr2/1R3P1K/8/8 w - - 1 31,-169.0,-150.0,g5g4,quiet,17,0.022301,19.0,0
4rr1k/1p4pp/5n2/pPB1q3/1p2pb2/1Q5P/P1R1BPP1/4K2R b - - 8 19,298.0,269.0,e5a1,quiet,23,0.022843,29.0,0
4R3/1k6/1p6/8/P7/8/3K4/8 b - - 0 48,-457.0,-646.0,b7a6,quiet,5,0.043497,189.0,0
1k1rr1b1/1ppq3p/p4bn1/5p2/3p4/P2P1NP1/1PPBPQBP/R2K1R2 w - - 6 19,-44.0,-43.0,g2h3,quiet,27,0.001417,1.0,0
Q7/2kr1p2/4p3/1B6/8/B2n3b/P7/6K1 b - - 2 30,-10.0,-629.0,d3c5,quiet,11,0.459549,619.0,0
8/6K1/8/8/8/2p1k3/8/2N5 w - - 0 53,-12.0,-108.0,g7f6,quiet,4,0.133342,96.0,0
2rqk1r1/p4p1p/1p1pnp1b/8/2P1P3/2NQ3P/PP3P1P/3RKB1R w K - 7 16,269.0,188.0,d3d6,capture,25,0.077782,81.0,0
2bq2k1/p5pp/1p1b4/3p4/1P1p1P2/P4P2/1N3K1P/3Q1B1R w - - 1 18,243.0,293.0,d1d4,capture,20,0.041786,50.0,0
r1bqk2r/4ppbn/2np4/7p/2NpP1pP/p2B2N1/2PB1PP1/R2Q1RK1 w kq - 0 13,-58.0,-18.0,g3h5,capture,28,0.056821,40.0,0
2r3k1/3r2p1/3np3/1p1b1pR1/p1pP1P2/P1P5/1P1N1KB1/R7 w - - 3 25,-313.0,-104.0,g2d5,capture,21,0.213012,209.0,0
2r3k1/4p3/4b1p1/4Pp2/6Pp/pP2B2P/Pr1R1PK1/R7 w - f6 0 34,117.0,35.0,e5f6,capture,19,0.112088,82.0,0
r7/1pp1k1pp/4b3/pPP1p3/P2rP2P/4K3/6P1/RN5R b - - 2 20,168.0,201.0,a8d8,quiet,20,0.036258,33.0,0
7r/1p2kp1p/2n1b1p1/1Nn5/2P3P1/2P3KP/4B3/R3R3 b - - 2 24,-137.0,-177.0,h8d8,quiet,18,0.047219,40.0,0
r7/p3q2k/bpp1p2p/n2pPp2/2P1n3/1PB1P1P1/P5BP/2RQR1K1 w - - 1 21,395.0,369.0,g2e4,capture,26,0.013457,26.0,0
2rqk3/1p3pp1/p3pn1r/3P2N1/P4P1p/2N1b2P/2Q1B1P1/B2R3K b - - 1 19,40.0,17.0,e6d5,capture,24,0.032866,23.0,0
1r1qk2r/p4p2/4p1p1/2n5/5P2/P1n2NPp/2B2P1P/1R1Q1RK1 w k - 0 19,68.0,33.0,b1b8,capture,22,0.049281,35.0,0
r1bq1rk1/1p3ppp/3b1B2/p1p5/7Q/2pB1P1P/PPP2P2/R3K2R b - - 0 13,281.0,294.0,f8e8,quiet,25,0.010080,13.0,0
r7/p2np1b1/2p1k1Np/3n3P/2N1p3/7P/PP1B1P2/R3KB2 b Q - 0 18,-326.0,-249.0,e6f7,quiet,21,0.059797,77.0,0
2bqk3/1p3r1p/4r1p1/p3Bp2/P1Np4/1Q4P1/1PP3P1/5RK1 w - - 5 19,-75.0,-80.0,b3b5,quiet,21,0.006849,5.0,0
1r1q1r1k/2p3pp/4n3/p1p1pN1P/P3bpQ1/2P5/1P3PP1/R3KB1R w K - 0 18,-79.0,-262.0,f5h4,quiet,25,0.207023,183.0,0
2k5/2p5/1p1r1p2/2r5/1R1p3p/3P3P/5PB1/R4K2 w - - 6 36,124.0,130.0,g2f3,quiet,15,0.007576,6.0,0
r4rk1/3qnppp/1R2p3/2p1P3/2nP1N2/2P3P1/7P/2BQR1K1 w - - 1 20,113.0,-5.0,d4c5,capture,22,0.164314,118.0,0
2r1r1k1/1p3pp1/p6p/8/P1pR4/5PB1/n5PP/1R5K w - - 3 24,-170.0,-204.0,b1b7,capture,18,0.037095,34.0,0
1B6/5rpk/7p/8/2b4P/6P1/8/R5K1 w - - 29 57,-55.0,-36.0,b8f4,quiet,10,0.026873,19.0,0
3r4/p7/1p6/3p3k/4nP2/8/PP4K1/3R4 w - - 0 33,-190.0,-350.0,g2f3,quiet,11,0.133255,160.0,0
1k6/1p3N2/p1n5/4P3/5P1p/7P/r5r1/2R2R1K w - - 0 29,-76.0,-210.0,f1e1,quiet,14,0.162436,134.0,0
4r3/1b3pk1/1p4p1/1P2qP2/2rNp3/4R2P/5QP1/3R2K1 w - - 3 39,-26.0,-49.0,f5g6,capture,18,0.032706,23.0,0
2kr2br/pp5p/1qn5/3np1N1/3p2P1/P4N1P/P1PBQP2/2KR1B1R w - - 1 14,237.0,316.0,f3e5,capture,26,0.063996,79.0,0
r2qk2r/pp3pp1/5n2/5b1p/1bPp4/3PPNPP/PB1NQ3/R3K2R b KQkq - 0 12,141.0,89.0,d4e3,capture,26,0.067112,52.0,0
r1k4r/1pn2ppp/4p3/p1bpPPB1/P7/1qPB2PP/4Q3/R3K2R w KQ - 0 17,79.0,-110.0,g5d2,quiet,25,0.264988,189.0,0
1r2qr1k/3pb1pp/R1b1p3/3n1p2/1P1P4/N1P2P1N/2QB2PP/1R4K1 b - - 0 16,187.0,61.0,d5c7,quiet,25,0.158928,126.0,0
r1b1r1k1/4qp2/2p2n1p/1Pbpn1pP/p2N4/1PB1PP2/2PQN1P1/1K1R1B1R b - - 1 14,77.0,22.0,a4b3,capture,29,0.077414,55.0,0
r1b3k1/p3r1pp/1p6/2pn1N2/3p3b/3P1B1P/PPPB1PPq/R2K3R w - - 0 17,-480.0,290.0,f3d5,capture,26,0.782141,770.0,0
r1bk3r/2pnq3/1pBp1p2/p2Pp1n1/4Pb1p/P1N2Q1P/1PP2BP1/1K1R2NR w - - 10 14,130.0,152.0,f3e2,quiet,30,0.026964,22.0,0
r3k3/pbpp1prp/4pq2/8/2P1P3/2N2N2/P1nPQP1P/5K1R w q - 1 12,-331.0,-368.0,h2h4,quiet,23,0.022176,37.0,0
4r1k1/2pq2p1/1p1p1p2/7r/p2N1B1P/2PQ2K1/P7/6R1 b - - 1 26,337.0,215.0,e8d8,quiet,18,0.099191,122.0,0
