fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
2r3k1/3r2p1/3np3/1p1b1pR1/p1pP1P2/P1P5/1P1N1KB1/R7 w - - 3 25,-250.0,-121.0,a1g1,quiet,21,0.140899,129.0,0
2r3k1/4p3/4b1p1/4Pp2/6Pp/pP2B2P/Pr1R1PK1/R7 w - f6 0 34,-105.0,42.0,e5f6,capture,19,0.206819,147.0,0
r7/1pp1k1pp/4b3/pPP1p3/P2rP2P/4K3/6P1/RN5R b - - 2 20,306.0,492.0,d4c4,quiet,20,0.090996,186.0,0
7r/1p2kp1p/2n1b1p1/1Nn5/2P3P1/2P3KP/4B3/R3R3 b - - 2 24,-475.0,-445.0,h7h5,quiet,18,0.010671,30.0,0
r7/p3q2k/bpp1p2p/n2pPp2/2P1n3/1PB1P1P1/P5BP/2RQR1K1 w - - 1 21,549.0,823.0,g2e4,capture,26,0.032004,274.0,0
2rqk3/1p3pp1/p3pn1r/3P2N1/P4P1p/2N1b2P/2Q1B1P1/B2R3K b - - 1 19,-479.0,-419.0,f6d5,capture,24,0.022592,60.0,0
1r1qk2r/p4p2/4p1p1/2n5/5P2/P1n2NPp/2B2P1P/1R1Q1RK1 w k - 0 19,-119.0,368.0,b1b8,capture,22,0.557535,487.0,0
r1bq1rk1/1p3ppp/3b1B2/p1p5/7Q/2pB1P1P/PPP2P2/R3K2R b - - 0 13,6.0,1218.0,f8e8,quiet,25,0.490465,1212.0,0
r7/p2np1b1/2p1k1Np/3n3P/2N1p3/7P/PP1B1P2/R3KB2 b Q - 0 18,-1182.0,-1265.0,e6f7,quiet,21,0.000421,83.0,0
2bqk3/1p3r1p/4r1p1/p3Bp2/P1Np4/1Q4P1/1PP3P1/5RK1 w - - 5 19,-97.0,-105.0,g3g4,quiet,21,0.010592,8.0,0
1r1q1r1k/2p3pp/4n3/p1p1pN1P/P3bpQ1/2P5/1P3PP1/R3KB1R w K - 0 18,-498.0,-528.0,f5h4,quiet,25,0.008147,30.0,0
2k5/2p5/1p1r1p2/2r5/1R1p3p/3P3P/5PB1/R4K2 w - - 6 36,854.0,750.0,b4a4,quiet,15,0.005885,104.0,0
r4rk1/3qnppp/1R2p3/2p1P3/2nP1N2/2P3P1/7P/2BQR1K1 w - - 1 20,-186.0,-292.0,b6b1,quiet,22,0.098292,106.0,0
2r1r1k1/1p3pp1/p6p/8/P1pR4/5PB1/n5PP/1R5K w - - 3 24,-735.0,-660.0,d4d2,quiet,18,0.007567,75.0,0
